"OUName","CanonicalName","UserCount"
"Domain Controllers","us.saas/Domain Controllers","0"
"Enterprise Servers","us.saas/Enterprise Servers","0"
"Pre-GoLive","us.saas/Pre-GoLive","0"
"MidMarket Servers","us.saas/MidMarket Servers","0"
"East","us.saas/MidMarket Servers/East","0"
"EW1","us.saas/MidMarket Servers/East/EW1","0"
"UltiPro","us.saas/MidMarket Servers/East/EW1/UltiPro","0"
"Web","us.saas/MidMarket Servers/East/EW1/UltiPro/Web","0"
"EW13","us.saas/MidMarket Servers/East/EW1/UltiPro/Web/EW13","0"
"Site","us.saas/MidMarket Servers/East/EW1/UltiPro/Site","0"
"EW14","us.saas/MidMarket Servers/East/EW1/UltiPro/Site/EW14","0"
"EW11","us.saas/MidMarket Servers/East/EW1/UltiPro/Web/EW11","0"
"Complementary","us.saas/MidMarket Servers/East/EW1/Complementary","0"
"UTA","us.saas/MidMarket Servers/East/EW1/Complementary/UTA","0"
"Web","us.saas/MidMarket Servers/East/EW1/Complementary/UTA/Web","0"
"UTM","us.saas/MidMarket Servers/East/EW1/Complementary/UTM","0"
"Web","us.saas/MidMarket Servers/East/EW1/Complementary/UTM/Web","0"
"EW14","us.saas/MidMarket Servers/East/EW1/UltiPro/Web/EW14","0"
"Cognos","us.saas/MidMarket Servers/East/EW1/Complementary/Cognos","0"
"Gateway","us.saas/MidMarket Servers/East/EW1/Complementary/Cognos/Gateway","0"
"EW15","us.saas/MidMarket Servers/East/EW1/UltiPro/Site/EW15","0"
"Hub","us.saas/MidMarket Servers/East/EW1/Complementary/Cognos/Hub","0"
"EW15","us.saas/MidMarket Servers/East/EW1/UltiPro/Web/EW15","0"
"EW12","us.saas/MidMarket Servers/East/EW1/UltiPro/Web/EW12","0"
"Disabled Objects","us.saas/Disabled Objects","0"
"Disabled Computers","us.saas/Disabled Objects/Disabled Computers","0"
"EW11","us.saas/MidMarket Servers/East/EW1/UltiPro/Site/EW11","0"
"SQL_VPN","us.saas/MidMarket Servers/East/EW1/UltiPro/SQL_VPN","0"
"EW15","us.saas/MidMarket Servers/East/EW1/UltiPro/SQL_VPN/EW15","0"
"EW12","us.saas/MidMarket Servers/East/EW1/UltiPro/Site/EW12","0"
"EW13","us.saas/MidMarket Servers/East/EW1/UltiPro/Site/EW13","0"
"D42 Servers","us.saas/D42 Servers","0"
"East","us.saas/D42 Servers/East","0"
"EW12","us.saas/MidMarket Servers/East/EW1/UltiPro/SQL_VPN/EW12","0"
"Shared Companies","us.saas/Shared Companies","0"
"20102","us.saas/Shared Companies/20102","681"
"EWZ","us.saas/MidMarket Servers/East/EWZ","0"
